"","team","week","R","X2B","HRS","RBI","SB","H","AB","BB","SLAM","AVG"
"1","1",1,43,20,9,39,7,74,316,49,0,0.234177215189873
"2","1",2,44,16,9,36,6,95,380,48,0,0.25
"3","1",3,44,13,5,37,9,89,323,41,0,0.275541795665635
"4","1",4,56,25,10,51,7,109,413,30,0,0.263922518159806
"5","1",5,49,28,7,42,8,83,338,33,0,0.245562130177515
"6","1",6,51,19,14,58,11,99,375,27,0,0.264
"7","1",7,46,24,9,37,4,102,370,38,0,0.275675675675676
"8","1",8,54,21,4,30,13,99,340,36,0,0.291176470588235
"9","1",9,52,17,10,41,8,91,357,32,0,0.254901960784314
"10","1",10,53,19,9,48,10,101,379,43,0,0.266490765171504
"11","1",11,47,24,9,44,10,114,398,31,0,0.28643216080402
"12","2",1,38,19,11,41,3,100,367,32,0,0.272479564032698
"13","2",2,51,18,15,46,5,77,363,33,0,0.212121212121212
"14","2",3,57,25,11,47,10,94,354,49,0,0.265536723163842
"15","2",4,54,22,15,55,5,95,373,43,1,0.254691689008043
"16","2",5,61,26,11,56,12,91,358,43,1,0.254189944134078
"17","2",6,54,19,12,42,7,97,414,42,0,0.234299516908213
"18","2",7,53,22,15,68,3,89,376,39,0,0.236702127659574
"19","2",8,51,18,12,40,6,84,363,45,0,0.231404958677686
"20","2",9,41,17,14,55,4,89,331,28,1,0.268882175226586
"21","2",10,50,25,16,57,5,101,377,32,2,0.26790450928382
"22","2",11,42,19,13,50,7,94,394,41,0,0.238578680203046
"23","3",1,53,28,7,41,10,97,364,35,0,0.266483516483516
"24","3",2,51,21,19,50,9,103,381,39,0,0.270341207349081
"25","3",3,47,18,12,54,6,99,364,31,1,0.271978021978022
"26","3",4,55,29,14,62,6,119,400,30,1,0.2975
"27","3",5,43,20,6,32,9,88,349,29,0,0.25214899713467
"28","3",6,54,17,8,36,10,99,375,36,1,0.264
"29","3",7,41,16,12,41,6,81,337,27,0,0.240356083086053
"30","3",8,55,19,18,62,4,116,386,33,0,0.300518134715026
"31","3",9,58,26,14,47,11,115,412,35,0,0.279126213592233
"32","3",10,59,16,20,60,10,116,399,33,0,0.290726817042607
"33","3",11,42,17,5,34,0,91,372,29,0,0.244623655913978
"34","4",1,52,16,12,49,6,106,350,40,0,0.302857142857143
"35","4",2,42,18,7,38,9,84,333,45,0,0.252252252252252
"36","4",3,53,16,12,49,8,92,344,38,0,0.267441860465116
"37","4",4,47,26,12,57,8,100,360,35,0,0.277777777777778
"38","4",5,50,21,8,53,7,99,355,36,0,0.27887323943662
"39","4",6,49,18,15,42,3,106,383,29,0,0.276762402088773
"40","4",7,56,16,19,55,7,97,355,33,1,0.273239436619718
"41","4",8,66,25,18,59,10,107,384,45,0,0.278645833333333
"42","4",9,54,19,10,50,8,87,385,44,2,0.225974025974026
"43","4",10,50,12,16,43,5,92,372,35,0,0.247311827956989
"44","4",11,48,26,13,57,4,97,369,35,0,0.262872628726287
